"xref_state_id","code"
9,"01000"
9,"01007"
9,"01009"
9,"01500"
9,"01502"
9,"01503"
9,"01504"
9,"01505"
9,"01506"
9,"01508"
9,"01512"
9,"01514"
9,"01516"
9,"01517"
9,"01518"
9,"01524"
9,"01529"
9,"01532"
9,"01538"
9,"01540"
9,"01546"
9,"01550"
9,"01551"
9,"01556"
9,"01560"
9,"01564"
9,"01570"
9,"01572"
9,"01576"
9,"01578"
9,"01582"
9,"01586"
9,"01590"
9,"01592"
9,"01594"
9,"01596"
9,"01598"
9,"01600"
9,"01604"
9,"01606"
9,"01608"
9,"01609"
9,"01610"
9,"01612"
9,"01614"
9,"01620"
9,"01622"
9,"01626"
9,"01628"
9,"01630"
9,"01632"
9,"01634"
9,"01644"
9,"01646"
9,"01648"
9,"01660"
9,"01664"
9,"01670"
9,"01672"
9,"01673"
9,"01674"
9,"01676"
9,"01680"
9,"01694"
9,"02000"
9,"02100"
9,"02200"
9,"02400"
9,"02450"
9,"02500"
9,"02600"
9,"02607"
9,"02609"
9,"02700"
9,"02707"
9,"02709"
9,"02800"
2,"05000"
2,"05050"
2,"05100"
2,"05150"
2,"05200"
2,"05250"
2,"05300"
2,"05350"
2,"05400"
2,"05460"
2,"05500"
2,"05502"
2,"05503"
2,"05504"
2,"05505"
2,"05506"
2,"05508"
2,"05512"
2,"05514"
2,"05516"
2,"05517"
2,"05518"
2,"05520"
2,"05532"
2,"05534"
2,"05536"
2,"05538"
2,"05550"
2,"05551"
2,"05552"
2,"05556"
2,"05558"
2,"05560"
2,"05564"
2,"05576"
2,"05578"
2,"05580"
2,"05582"
2,"05586"
2,"05590"
2,"05592"
2,"05594"
2,"05600"
2,"05604"
2,"05610"
2,"05612"
2,"05614"
2,"05620"
2,"05621"
2,"05622"
2,"05626"
2,"05628"
2,"05630"
2,"05632"
2,"05644"
2,"05660"
2,"05661"
2,"05664"
2,"05670"
2,"05672"
2,"05673"
2,"05674"
2,"05675"
2,"05676"
2,"05680"
2,"05690"
2,"05696"
2,"05700"
2,"05710"
2,"05720"
2,"05990"
2,"06000"
2,"06007"
2,"06009"
2,"06010"
2,"06050"
2,"06100"
2,"06150"
2,"06200"
2,"06207"
2,"06209"
2,"06250"
2,"06300"
2,"06350"
2,"06400"
2,"06500"
2,"06501"
2,"06509"
2,"06550"
2,"06570"
2,"06600"
2,"06650"
2,"06660"
2,"06700"
2,"06707"
2,"06709"
2,"06710"
2,"06720"
2,"06750"
2,"06800"
2,"06900"
2,"06910"
2,"07000"
2,"07007"
2,"07009"
2,"08000"
2,"08007"
2,"08009"
2,"08010"
2,"08100"
2,"08110"
2,"08200"
2,"08210"
2,"08300"
2,"08320"
2,"08330"
2,"08340"
2,"08400"
2,"08407"
2,"08409"
2,"08500"
2,"08507"
2,"08509"
2,"08600"
2,"08700"
2,"08800"
2,"09000"
2,"09007"
2,"09009"
2,"09010"
2,"09020"
2,"09100"
2,"09110"
2,"09200"
2,"09300"
2,"09310"
2,"09400"
2,"09410"
2,"09600"
2,"09700"
2,"09800"
2,"09810"
7,10000
7,10050
7,10100
7,10150
7,10200
7,10250
7,10300
7,10350
7,10400
7,10450
7,10460
7,10470
7,10500
7,10502
7,10503
7,10504
7,10505
7,10506
7,10508
7,10512
7,10514
7,10516
7,10518
7,10524
7,10534
7,10538
7,10540
7,10542
7,10546
7,10550
7,10551
7,10552
7,10558
7,10560
7,10564
7,10566
7,10570
7,10576
7,10578
7,10582
7,10590
7,10592
7,10593
7,10594
7,10596
7,10600
7,10604
7,10609
7,10610
7,10612
7,10620
7,10622
7,10626
7,10628
7,10634
7,10646
7,10648
7,10660
7,10661
7,10662
7,10670
7,10672
7,10673
7,10674
7,10676
7,10690
7,10710
7,10720
7,10730
7,10740
7,10750
7,10760
7,10770
7,10780
7,10790
7,10800
7,10810
7,10820
7,10830
7,10840
7,10850
7,10910
7,10920
7,10990
7,11000
7,11010
7,11020
7,11050
7,11060
7,11100
7,11200
7,11300
7,11400
7,11409
7,11500
7,11600
7,11609
7,11700
7,11800
7,11900
7,11910
7,11920
7,11950
7,11960
7,12000
7,12100
7,12200
7,12300
7,12700
7,12710
7,12720
7,12990
7,13000
7,13009
7,13020
7,13050
7,13100
7,13110
7,13200
7,13210
